email,firstname,lastname,mobile,password
botuser01@mail.com,Rabbil,Hasan,01700111111,pass123
botuser02@mail.com,Rahim,Khan,01700222222,pass123
botuser03@mail.com,Amin,Uddin,01711000001,pass123
botuser04@mail.com,Kamal,Hossain,01711000002,pass123
botuser05@mail.com,Shahin,Ali,01711000003,pass123
botuser06@mail.com,Rajib,Sarker,01711000004,pass123
botuser07@mail.com,Masud,Rana,01711000005,pass123
botuser08@mail.com,Tarik,Hasan,01711000006,pass123
botuser09@mail.com,Jahir,Kabir,01711000007,pass123
botuser10@mail.com,Naeem,Akter,01711000008,pass123
botuser11@mail.com,Rasel,Mia,01711000009,pass123
botuser12@mail.com,Sajib,Chowdhury,01711000010,pass123
botuser13@mail.com,Abir,Khan,01711000011,pass123
botuser14@mail.com,Fahim,Islam,01711000012,pass123
botuser15@mail.com,Taslim,Ahmed,01711000013,pass123
botuser16@mail.com,Imran,Siddique,01711000014,pass123
botuser17@mail.com,Mehedi,Hasan,01711000015,pass123
botuser18@mail.com,Shuvo,Dutta,01711000016,pass123
botuser19@mail.com,Nahid,Asif,01711000017,pass123
botuser20@mail.com,Siam,Rayhan,01711000018,pass123
botuser21@mail.com,Shahriar,Khan,01711000019,pass123
botuser22@mail.com,Rubel,Mia,01711000020,pass123
botuser23@mail.com,Sajib,Hossain,01711000021,pass123
botuser24@mail.com,Alif,Chowdhury,01711000022,pass123
botuser25@mail.com,Parvez,Hassan,01711000023,pass123
botuser26@mail.com,Monir,Ullah,01711000024,pass123
botuser27@mail.com,Forhad,Kabir,01711000025,pass123
botuser28@mail.com,Arman,Khan,01711000026,pass123
botuser29@mail.com,Shahadat,Hossain,01711000027,pass123
botuser30@mail.com,Rezaul,Karim,01711000028,pass123
